seq	term
c420836_g1	"Replication, recombination and repair"
c464842_g1	"Signal transduction mechanisms"
c466837_g4	"Translation, ribosomal structure and biogenesis"
c480595_g3	"Replication, recombination and repair"
c470861_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480445_g5	"Energy production and conversion"
c433488_g1	"NA"
c480708_g2	"Lipid transport and metabolism"
c475878_g5	"Chromatin structure and dynamics"
c461346_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c447481_g1	"Replication, recombination and repair"
c459914_g2	"Carbohydrate transport and metabolism"
c409323_g1	"Cytoskeleton"
c474373_g1	"Transcription"
c467137_g1	"Replication, recombination and repair"
c472140_g1	"Extracellular structures"
c426439_g1	"Translation, ribosomal structure and biogenesis"
c479115_g1	"Transcription"
c434026_g1	"Cytoskeleton"
c457975_g4	"Translation, ribosomal structure and biogenesis"
c474403_g1	"Signal transduction mechanisms"
c473619_g1	"Intracellular trafficking, secretion, and vesicular transport"
c416849_g1	"RNA processing and modification"
c457380_g1	"Lipid transport and metabolism"
c468531_g5	"Posttranslational modification, protein turnover, chaperones"
c460828_g1	"Energy production and conversion"
c468845_g1	"Chromatin structure and dynamics"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c477289_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477295_g3	"Replication, recombination and repair"
c378573_g1	"Signal transduction mechanisms"
c451261_g1	"Intracellular trafficking, secretion, and vesicular transport"
c448172_g1	"NA"
c451646_g1	"Intracellular trafficking, secretion, and vesicular transport"
c479311_g2	"Chromatin structure and dynamics"
c461946_g1	"Cell wall/membrane/envelope biogenesis"
c455964_g10	"Replication, recombination and repair"
c456278_g1	"NA"
c469308_g6	"Posttranslational modification, protein turnover, chaperones"
c433499_g1	"Chromatin structure and dynamics"
c470509_g1	"Signal transduction mechanisms"
c471274_g1	"Carbohydrate transport and metabolism"
c478115_g4	"Lipid transport and metabolism"
c455640_g1	"Posttranslational modification, protein turnover, chaperones"
c465327_g1	"NA"
c461277_g2	"Posttranslational modification, protein turnover, chaperones"
c402798_g1	"NA"
c462028_g1	"Signal transduction mechanisms"
c477429_g1	"Lipid transport and metabolism"
c474616_g5	"Replication, recombination and repair"
c463039_g4	"Replication, recombination and repair"
c477782_g1	"Transcription"
c471087_g1	"Cell wall/membrane/envelope biogenesis"
c446896_g2	"Cell cycle control, cell division, chromosome partitioning"
c470629_g1	"Transcription"
c481354_g1	"Replication, recombination and repair"
c408784_g1	"Replication, recombination and repair"
c452927_g2	"Cell cycle control, cell division, chromosome partitioning"
c480165_g1	"Replication, recombination and repair"
c481209_g1	"Lipid transport and metabolism"
c406062_g1	"NA"
c470779_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476378_g6	"Coenzyme transport and metabolism"
c480808_g1	"Intracellular trafficking, secretion, and vesicular transport"
c460818_g1	"Replication, recombination and repair"
c468002_g1	"Signal transduction mechanisms"
c476206_g1	"NA"
c472452_g2	"Signal transduction mechanisms"
c456083_g1	"NA"
c401618_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c454864_g1	"Amino acid transport and metabolism"
c472648_g1	"Cell cycle control, cell division, chromosome partitioning"
c443796_g1	"RNA processing and modification"
c431093_g2	"Signal transduction mechanisms"
c452919_g1	"Posttranslational modification, protein turnover, chaperones"
c436677_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c472419_g1	"Carbohydrate transport and metabolism"
c456391_g1	"Intracellular trafficking, secretion, and vesicular transport"
c394417_g1	"Posttranslational modification, protein turnover, chaperones"
c473862_g1	"Posttranslational modification, protein turnover, chaperones"
c471874_g3	"NA"
c436943_g1	"Defense mechanisms"
c461620_g1	"Cell wall/membrane/envelope biogenesis"
c470846_g2	"NA"
c436135_g2	"Translation, ribosomal structure and biogenesis"
c327490_g1	"Posttranslational modification, protein turnover, chaperones"
c469967_g1	"Carbohydrate transport and metabolism"
c477713_g1	"NA"
c480062_g1	"Replication, recombination and repair"
c438007_g1	"RNA processing and modification"
c474250_g2	"Lipid transport and metabolism"
c465510_g1	"Carbohydrate transport and metabolism"
c469930_g2	"Transcription"
c475701_g4	"Signal transduction mechanisms"
c461268_g1	"Coenzyme transport and metabolism"
c479984_g1	"Lipid transport and metabolism"
c451215_g1	"Lipid transport and metabolism"
c455187_g1	"Signal transduction mechanisms"
c475873_g1	"Translation, ribosomal structure and biogenesis"
c475956_g2	"Intracellular trafficking, secretion, and vesicular transport"
c443548_g1	"Posttranslational modification, protein turnover, chaperones"
c466574_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c475840_g1	"Replication, recombination and repair"
c468015_g5	"Nucleotide transport and metabolism"
c402023_g1	"Amino acid transport and metabolism"
c480790_g1	"Coenzyme transport and metabolism"
c479419_g2	"Cytoskeleton"
c401042_g1	"Intracellular trafficking, secretion, and vesicular transport"
c432749_g1	"RNA processing and modification"
c454985_g3	"RNA processing and modification"
c475155_g5	"Chromatin structure and dynamics"
c477639_g6	"NA"
c469442_g1	"Coenzyme transport and metabolism"
c474931_g1	"Signal transduction mechanisms"
c477399_g1	"Energy production and conversion"
c454840_g1	"Carbohydrate transport and metabolism"
c455032_g1	"Transcription"
c468253_g1	"Nucleotide transport and metabolism"
c436691_g1	"Energy production and conversion"
c475507_g1	"Signal transduction mechanisms"
c476073_g9	"Amino acid transport and metabolism"
c445243_g1	"Inorganic ion transport and metabolism"
c765569_g1	"Energy production and conversion"
c470635_g1	"Energy production and conversion"
c410718_g4	"Replication, recombination and repair"
c453853_g2	"Intracellular trafficking, secretion, and vesicular transport"
c457090_g2	"NA"
c479114_g3	"NA"
c453177_g1	"Translation, ribosomal structure and biogenesis"
c480762_g3	"Signal transduction mechanisms"
c467768_g1	"Signal transduction mechanisms"
c479751_g1	"Signal transduction mechanisms"
c475475_g2	"Replication, recombination and repair"
c422676_g1	"Signal transduction mechanisms"
c440870_g1	"Transcription"
c476119_g1	"Signal transduction mechanisms"
c462694_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480742_g1	"Intracellular trafficking, secretion, and vesicular transport"
c455925_g1	"Signal transduction mechanisms"
c463024_g1	"Energy production and conversion"
c435536_g1	"Signal transduction mechanisms"
c474790_g4	"Posttranslational modification, protein turnover, chaperones"
c479889_g4	"Transcription"
c476813_g2	"Replication, recombination and repair"
c459085_g1	"NA"
c469719_g1	"Inorganic ion transport and metabolism"
c479822_g2	"Amino acid transport and metabolism"
c282196_g1	"Replication, recombination and repair"
c443933_g1	"Inorganic ion transport and metabolism"
c428911_g1	"NA"
c350193_g1	"NA"
c460489_g1	"Replication, recombination and repair"
c481196_g1	"Translation, ribosomal structure and biogenesis"
c385282_g1	"Carbohydrate transport and metabolism"
c467404_g2	"Replication, recombination and repair"
c425169_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c470043_g3	"Lipid transport and metabolism"
c477157_g3	"Chromatin structure and dynamics"
c408784_g1	"Replication, recombination and repair"
c475200_g5	"Signal transduction mechanisms"
c441302_g2	"Intracellular trafficking, secretion, and vesicular transport"
c473869_g1	"Energy production and conversion"
c444805_g1	"Transcription"
c443901_g1	"Transcription"
c466542_g1	"Translation, ribosomal structure and biogenesis"
c464327_g1	"Posttranslational modification, protein turnover, chaperones"
c470189_g1	"Cytoskeleton"
c478044_g2	"NA"
c477641_g4	"Signal transduction mechanisms"
c474667_g1	"Signal transduction mechanisms"
c421894_g1	"Energy production and conversion"
c477549_g1	"Signal transduction mechanisms"
c458071_g1	"Coenzyme transport and metabolism"
c460419_g4	"NA"
c480209_g3	"Energy production and conversion"
c470159_g3	"Signal transduction mechanisms"
c312299_g1	"Signal transduction mechanisms"
c459197_g3	"NA"
c445460_g2	"NA"
c471054_g1	"Energy production and conversion"
c477459_g2	"Signal transduction mechanisms"
c462728_g5	"Nucleotide transport and metabolism"
c478500_g1	"Signal transduction mechanisms"
c477902_g3	"Lipid transport and metabolism"
c346838_g1	"Coenzyme transport and metabolism"
c475094_g2	"Amino acid transport and metabolism"
c418632_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c478519_g1	"Replication, recombination and repair"
c462893_g1	"Cytoskeleton"
c472237_g1	"Coenzyme transport and metabolism"
c417717_g1	"Transcription"
c448395_g1	"NA"
c465465_g4	"Signal transduction mechanisms"
c390152_g1	"Replication, recombination and repair"
c473538_g1	"Replication, recombination and repair"
c474666_g1	"Signal transduction mechanisms"
c464378_g2	"Transcription"
c456447_g1	"Inorganic ion transport and metabolism"
c404829_g1	"Translation, ribosomal structure and biogenesis"
c428448_g1	"RNA processing and modification"
c475303_g1	"Replication, recombination and repair"
c470741_g1	"Lipid transport and metabolism"
c414445_g2	"RNA processing and modification"
c475840_g1	"Replication, recombination and repair"
c477635_g2	"Cytoskeleton"
c60967_g1	"Signal transduction mechanisms"
c477223_g2	"Replication, recombination and repair"
c448628_g2	"NA"
c470741_g1	"Lipid transport and metabolism"
c474055_g5	"NA"
c466033_g1	"Carbohydrate transport and metabolism"
c471862_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480116_g2	"Amino acid transport and metabolism"
c458484_g1	"RNA processing and modification"
c447689_g1	"Signal transduction mechanisms"
c480406_g1	"Cell cycle control, cell division, chromosome partitioning"
c437659_g1	"NA"
c472029_g2	"Replication, recombination and repair"
c465768_g1	"RNA processing and modification"
c478625_g1	"Replication, recombination and repair"
c478207_g2	"Cytoskeleton"
c470535_g1	"Chromatin structure and dynamics"
c464026_g1	"Translation, ribosomal structure and biogenesis"
c445834_g1	"Posttranslational modification, protein turnover, chaperones"
c478350_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477450_g6	"Replication, recombination and repair"
c473569_g1	"Carbohydrate transport and metabolism"
c480104_g2	"Intracellular trafficking, secretion, and vesicular transport"
c461056_g1	"Coenzyme transport and metabolism"
c466174_g1	"Intracellular trafficking, secretion, and vesicular transport"
c463035_g2	"NA"
c477279_g1	"Energy production and conversion"
c480185_g1	"Energy production and conversion"
c475485_g1	"Posttranslational modification, protein turnover, chaperones"
c397829_g1	"Coenzyme transport and metabolism"
c463775_g1	"Energy production and conversion"
c473010_g2	"Amino acid transport and metabolism"
c451790_g1	"Transcription"
c449778_g1	"Translation, ribosomal structure and biogenesis"
c469321_g2	"NA"
c420307_g1	"Amino acid transport and metabolism"
c470482_g1	"Signal transduction mechanisms"
c474604_g1	"Transcription"
c476200_g1	"Cell cycle control, cell division, chromosome partitioning"
c467668_g2	"Posttranslational modification, protein turnover, chaperones"
c474533_g1	"Signal transduction mechanisms"
c341158_g1	"Posttranslational modification, protein turnover, chaperones"
c451654_g1	"Replication, recombination and repair"
c456510_g1	"Intracellular trafficking, secretion, and vesicular transport"
c472281_g1	"Energy production and conversion"
c449503_g2	"Intracellular trafficking, secretion, and vesicular transport"
c461638_g4	"Replication, recombination and repair"
c454582_g1	"Posttranslational modification, protein turnover, chaperones"
c473531_g1	"Posttranslational modification, protein turnover, chaperones"
c382627_g1	"Replication, recombination and repair"
c469435_g2	"Cell cycle control, cell division, chromosome partitioning"
c451457_g1	"Replication, recombination and repair"
c463159_g2	"Transcription"
c467228_g1	"Signal transduction mechanisms"
c431864_g1	"RNA processing and modification"
c479385_g3	"NA"
c474112_g1	"Energy production and conversion"
c476158_g4	"Translation, ribosomal structure and biogenesis"
c446176_g1	"NA"
c472379_g2	"Replication, recombination and repair"
c468810_g3	"NA"
c477639_g6	"NA"
c476727_g2	"Amino acid transport and metabolism"
c478728_g8	"Replication, recombination and repair"
c443007_g2	"Signal transduction mechanisms"
c479488_g2	"Signal transduction mechanisms"
c463775_g1	"Energy production and conversion"
c460831_g2	"Intracellular trafficking, secretion, and vesicular transport"
c476427_g6	"RNA processing and modification"
c450792_g1	"Signal transduction mechanisms"
c471076_g1	"Signal transduction mechanisms"
c466823_g1	"Translation, ribosomal structure and biogenesis"
c440905_g1	"RNA processing and modification"
c389407_g1	"Translation, ribosomal structure and biogenesis"
c456580_g1	"Signal transduction mechanisms"
c452663_g1	"RNA processing and modification"
c461999_g3	"NA"
c472089_g2	"Chromatin structure and dynamics"
c460038_g1	"Cytoskeleton"
c478022_g1	"Cytoskeleton"
c441493_g1	"Transcription"
c442452_g1	"Amino acid transport and metabolism"
c346477_g1	"Amino acid transport and metabolism"
c470962_g3	"Intracellular trafficking, secretion, and vesicular transport"
c432727_g1	"Lipid transport and metabolism"
c456112_g1	"Carbohydrate transport and metabolism"
c480943_g2	"NA"
c464003_g1	"Posttranslational modification, protein turnover, chaperones"
c480104_g2	"Intracellular trafficking, secretion, and vesicular transport"
c471521_g5	"Replication, recombination and repair"
c470684_g1	"Cell cycle control, cell division, chromosome partitioning"
c350323_g1	"Amino acid transport and metabolism"
c466969_g1	"Transcription"
c472189_g2	"Replication, recombination and repair"
c476822_g1	"NA"
